,ID2003_d,NM.2003,VCA,HKD,HKD_Sisa,HKDPer_2,HKDII,HKDII_tdklnjt,HKDII_tdkcair,YearI,YearII,YearIII,YearIV,Combined Boundary
132,1502010014,SUNGAI HITAM,0,0,250000000,0,0,0,0,0,0,0,0,0
133,1502010015,MUARA MANDRAS,0,0,250000000,0,0,0,0,0,0,0,0,0
134,1502010016,LUBUK PUNGGUK,1,249982666,17334,0.999930664,1,0,0,0,1,0,0,0
135,1502010017,PULAU TENGAH,1,249993540,6460,0.99997416,1,0,0,0,1,0,0,0
136,1502010018,RENAH ALAI,1,249896096,103904,0.999584384,1,0,0,0,0,1,0,0
137,1502010019,LUBUK MENTILIN,0,0,250000000,0,0,0,0,0,0,0,0,0
138,1502010020,RANTAU KERMAS,1,242749430,7250570,0.97099772,1,0,0,1,0,0,0,
139,1502010021,TANJUNG KASRI,0,0,250000000,0,0,0,0,0,0,0,0,0
140,1502010022,RENAH KEMUMU,0,0,250000000,0,0,0,0,0,0,0,0,0
141,1502020001,NILO DINGIN,0,0,250000000,0,0,0,0,0,0,0,0,0
142,1502020002,TANJUNG BERUGO,0,0,250000000,0,0,0,0,0,0,0,0,0
143,1502020003,DUSUN TUO,0,0,250000000,0,0,0,0,0,0,0,0,0
144,1502020004,DURIAN RAMBUN,0,0,250000000,0,0,0,0,0,0,0,0,0
145,1502050001,BUKIT PERENTAK,1,124998225,125001775,0.4999929,0,1,0,0,0,0,1,0
146,1502050002,BARU PANGKALAN JAMBU,1,249958763,41237,0.999835052,1,0,0,0,0,1,0,0
147,1502050004,BIRUN,0,0,250000000,0,0,0,0,0,0,0,0,0
148,1502050005,BUNGO TANJUNG,0,0,250000000,0,0,0,0,0,0,0,0,0
149,1502050007,KAMPUNG LIMO,0,0,250000000,0,0,0,0,0,0,0,0,0
150,1502050008,TANJUNG MUDO,0,0,250000000,0,0,0,0,0,0,0,0,0
151,1502050011,SEI PINANG,0,0,250000000,0,0,0,0,0,0,0,0,0
152,1502061001,AIR LIKI,0,0,250000000,0,0,0,0,0,0,0,0,0
153,1502061002,NGAOL,1,249979982,20018,0.999919928,1,0,0,0,0,0,1,0
154,1502061005,BATANG KIBUL,0,0,250000000,0,0,0,0,0,0,0,0,0
155,1503010002,BATU EMPANG,0,0,250000000,0,0,0,0,0,0,0,0,0
156,1503010007,RANTAU PANJANG,0,0,250000000,0,0,0,0,0,0,0,0,0
157,1503020001,MERSIP,0,0,250000000,0,0,0,0,0,0,0,0,0
158,1503020004,MERIBUNG,0,0,250000000,0,0,0,0,0,0,0,0,0
159,1503020005,NAPAL MELINTANG,0,0,250000000,0,0,0,0,0,0,0,0,0
160,1509010001,BATU KERBAU,1,124995861,125004139,0.499983444,0,1,0,0,0,0,1,0
161,1509030001,SUNGAI TELANG,0,0,250000000,0,0,0,0,0,0,0,0,0
162,1509051001,RANTAU TIPU,0,0,250000000,0,0,0,0,0,0,0,0,0
163,1509051003,RENAH SUNGAI IPUH,0,0,250000000,0,0,0,0,0,0,0,0,0
164,1509051004,PEMUNYIAN,0,0,250000000,0,0,0,0,0,0,0,0,0
165,1605030001,NAPAL MELINTANG,1,125000000,125000000,0.5,0,0,1,0,0,0,1,0
166,1605030002,BATU GANE,1,125000000,125000000,0.5,0,0,1,0,0,1,0,0
167,1605030003,PASENAN,1,125000000,125000000,0.5,0,1,0,0,0,1,0,0
168,1605030004,KARANG PANGGUNG,1,125000000,125000000,0.5,0,0,1,0,0,0,1,
169,1605030005,MUARA NILAU,1,124513610,125486390,0.49805444,0,0,1,0,0,0,1,0
170,1605030006,TABA GINDO,0,0,250000000,0,0,0,0,0,0,0,0,0
171,1605030007,PRABU MENANG,0,0,250000000,0,0,0,0,0,0,0,0,0
172,1605030009,TABA RENAH,0,0,250000000,0,0,0,0,0,0,0,0,0
173,1605030010,TABA REMANIK,0,0,250000000,0,0,0,0,0,0,0,0,0
174,1605030014,SELANGIT,0,0,250000000,0,0,0,0,0,0,0,0,0
175,1605030015,SUKARAYA,1,125000000,125000000,0.5,0,0,1,0,0,0,1,0
176,1605030017,LUBUK NGIN,0,0,250000000,0,0,0,0,0,0,0,0,0
177,1613010001, ,0,0,250000000,0,0,0,0,0,0,0,0,0
178,1613010003, ,0,0,250000000,0,0,0,0,0,0,0,0,0
179,1613010004, ,0,0,250000000,0,0,0,0,0,0,0,0,0
180,1613010010, ,0,0,250000000,0,0,0,0,0,0,0,0,0
181,1613070001,Kuto Tanjung,1,48350260,201649740,0.19340104,0,1,0,0,1,0,0,0
182,1613070002,Napal Licin,1,76816390,173183610,0.30726556,0,1,0,1,0,0,0,0
183,1613070003,SOSOKAN,1,125000000,125000000,0.5,0,1,0,0,1,0,0,0
184,1613070004, ,0,0,250000000,0,0,0,0,0,0,0,0,0
185,1613070005, ,0,0,250000000,0,0,0,0,0,0,0,0,0
186,1613070006, ,0,0,250000000,0,0,0,0,0,0,0,0,0
187,1674010001,LUBUK DURIAN,0,0,250000000,0,0,0,0,0,0,0,0,0
188,1674010002,KAYU ARA,0,0,250000000,0,0,0,0,0,0,0,0,0
189,1674010003,LUBUK TANJUNG,0,0,250000000,0,0,0,0,0,0,0,0,0
190,1674010013,SIDOREJO,0,0,250000000,0,0,0,0,0,0,0,0,0
191,1674010014,ULAK SURUNG,0,0,250000000,0,0,0,0,0,0,0,0,0
192,1674030008,MEGANG,0,0,250000000,0,0,0,0,0,0,0,0,0
193,1674040001,PETANANG,0,0,250000000,0,0,0,0,0,0,0,0,0
194,1674040002,SUMBER AGUNG,0,0,250000000,0,0,0,0,0,0,0,0,0
195,1702030037,T A K T O I,0,0,250000000,0,0,0,0,0,0,0,0,0
196,1702030041,KASIE KASUBUN,1,117533815,132466185,0.47013526,0,0,1,0,0,0,1,0
197,1702030043,BELUMAI I,0,0,250000000,0,0,0,0,0,0,0,0,0
198,1702030044,BUKIT BATU,0,0,250000000,0,0,0,0,0,0,0,0,0
199,1702031012,TANJUNG AUR,0,0,250000000,0,0,0,0,0,0,0,0,0
200,1702031013,BELITAR MUKA,0,0,250000000,0,0,0,0,0,0,0,0,0
201,1702031014,PELALO,1,114457450,135542550,0.4578298,0,1,0,0,1,0,0,0
202,1702031015,BERINGIN TIGA,0,0,250000000,0,0,0,0,0,0,0,0,0
203,1702031016,MOJOREJO,0,0,250000000,0,0,0,0,0,0,0,0,0
204,1702041014,BABAKAN BARU,0,0,250000000,0,0,0,0,0,0,0,0,0
205,1702041015,BANGUN JAYA,0,0,250000000,0,0,0,0,0,0,0,0,0
206,1702041016,TEBAT TENONG LUAR,0,0,250000000,0,0,0,0,0,0,0,0,0
207,1702041017,KARANG ANYAR PAL VIII,1,0,250000000,0,0,1,0,0,1,0,0,0
208,1702041019,PAL VII,1,120157740,129842260,0.48063096,0,1,0,0,0,1,0,0
209,1702041020,BANDUNG MARGA,0,0,250000000,0,0,0,0,0,0,0,0,0
210,1702042002,CAWANG BARU,0,0,250000000,0,0,0,0,0,0,0,0,0
211,1702042004,CAWANG LAMA,0,0,250000000,0,0,0,0,0,0,0,0,0
212,1702042005,KAYU MANIS,0,0,250000000,0,0,0,0,0,0,0,0,0
213,1702042006,KAMPUNG BARU,0,0,250000000,0,0,0,0,0,0,0,0,0
214,1702042009,AIR DUKU,0,0,250000000,0,0,0,0,0,0,0,0,0
215,1702042010,SAMBIREJO,0,0,250000000,0,0,0,0,0,0,0,0,0
216,1702042011,SUMBER BENING,0,0,250000000,0,0,0,0,0,0,0,0,0
217,1702042012,KARANG JAYA,0,0,250000000,0,0,0,0,0,0,0,0,0
218,1702050010,SUKA SARI,0,0,250000000,0,0,0,0,0,0,0,0,0
219,1702050022,PEL TALANG LEAK,0,0,250000000,0,0,0,0,0,0,0,0,0
220,1702050025,TALANG LEAK II,0,0,250000000,0,0,0,0,0,0,0,0,0
221,1702051001,AIR DINGIN,0,0,250000000,0,0,0,0,0,0,0,0,0
222,1702051002,RIMBO PENGADANG,0,0,250000000,0,0,0,0,0,0,0,0,0
223,1702051003,TANJUNG,0,0,250000000,0,0,0,0,0,0,0,0,0
224,1702051004,TALANG DONOK,1,124993850,125006150,0.4999754,0,1,0,0,1,0,0,0
225,1702051005,TALANG BARU,0,0,250000000,0,0,0,0,0,0,0,0,0
226,1702051006,TAPUS,0,0,250000000,0,0,0,0,0,0,0,0,0
227,1702051007,SUKA NEGERI,0,0,250000000,0,0,0,0,0,0,0,0,0
