Estimate,RobustSE,z,Pr(>|z|),LL,UL,depvar,did_type,mtch,term,depvar2,model,obs,grp,r2
-0.0037089,0.0092506,-0.4,0.689,-0.0219816,0.0145637,KSNP,Cont.,Mahal.,Short-Term,Log(Ha),3,942,157,0.2215
-0.0121977,0.0077314,-1.58,0.117,-0.0274694,0.003074,KSNP,Cont.,Mahal.,Short-Term,Log(Ha),2,942,157,0.0045
-0.0124049,0.00586,-2.12,0.036,-0.0239801,-0.0008298,KSNP,Cont.,Mahal.,Short-Term,Log(Ha),1,942,157,0.003
0.0663636,0.052938,1.25,0.212,-0.0382041,0.1709314,KSNP,Cont.,Mahal.,Short-Term,Ha,3,942,157,0.4047
-0.0082276,0.0680542,-0.12,0.904,-0.1426542,0.1261991,KSNP,Cont.,Mahal.,Short-Term,Ha,2,942,157,0.0444
0.0700656,0.0407334,1.72,0.087,-0.0103946,0.1505258,KSNP,Cont.,Mahal.,Short-Term,Ha,1,942,157,0.0013
0.1291184,0.2575421,0.5,0.617,-0.3796013,0.6378381,KSNP,Dich.,Mahal.,Short-Term,Log(Ha),3,942,157,0.2217
-0.1520446,0.1993196,-0.76,0.447,-0.5457581,0.2416688,KSNP,Dich.,Mahal.,Short-Term,Log(Ha),2,942,157,0.0027
-0.1693336,0.1548797,-1.09,0.276,-0.4752656,0.1365984,KSNP,Dich.,Mahal.,Short-Term,Log(Ha),1,942,157,0.001
1.941162,1.765432,1.1,0.273,-1.546075,5.428398,KSNP,Dich.,Mahal.,Short-Term,Ha,3,942,157,0.405
-0.7057404,2.038639,-0.35,0.73,-4.732639,3.321159,KSNP,Dich.,Mahal.,Short-Term,Ha,2,942,157,0.0446
1.633259,1.317639,1.24,0.217,-0.9694561,4.235974,KSNP,Dich.,Mahal.,Short-Term,Ha,1,942,157,0.0013
0.0078292,0.0047631,1.64,0.101,-0.0015497,0.0172081,Non-KSNP,Cont.,None,Short-Term,Log(Ha),3,1578,263,0.3691
0.003066,0.0038812,0.79,0.43,-0.0045762,0.0107083,Non-KSNP,Cont.,None,Short-Term,Log(Ha),2,1578,263,0.0295
0.0126534,0.0036211,3.49,0.001,0.0055232,0.0197836,Non-KSNP,Cont.,None,Short-Term,Log(Ha),1,1578,263,0.0024
-0.3357558,0.8519385,-0.39,0.694,-2.013273,1.341762,Non-KSNP,Cont.,None,Short-Term,Ha,3,1578,263,0.1328
0.375835,0.3191866,1.18,0.24,-0.2526624,1.004332,Non-KSNP,Cont.,None,Short-Term,Ha,2,1578,263,0.0131
0.7478869,0.2796269,2.67,0.008,0.1972848,1.298489,Non-KSNP,Cont.,None,Short-Term,Ha,1,1578,263,0.0008
0.1983241,0.1562318,1.27,0.205,-0.1093057,0.5059538,Non-KSNP,Dich.,None,Short-Term,Log(Ha),3,1578,263,0.3691
0.017995,0.1437217,0.13,0.9,-0.2650016,0.3009917,Non-KSNP,Dich.,None,Short-Term,Log(Ha),2,1578,263,0.0294
0.2899831,0.1346593,2.15,0.032,0.0248308,0.5551354,Non-KSNP,Dich.,None,Short-Term,Log(Ha),1,1578,263,0.0022
-11.08947,22.95614,-0.48,0.629,-56.29149,34.11254,Non-KSNP,Dich.,None,Short-Term,Ha,3,1578,263,0.1329
6.495432,9.527987,0.68,0.496,-12.26574,25.25661,Non-KSNP,Dich.,None,Short-Term,Ha,2,1578,263,0.013
18.91449,8.344753,2.27,0.024,2.483174,35.34581,Non-KSNP,Dich.,None,Short-Term,Ha,1,1578,263,0.0009
-0.0071966,0.0068194,-1.06,0.292,-0.0206245,0.0062313,KSNP,Cont.,None,Short-Term,Log(Ha),3,1578,263,0.1905
-0.009743,0.0059608,-1.63,0.103,-0.0214802,0.0019943,KSNP,Cont.,None,Short-Term,Log(Ha),2,1578,263,0.0012
-0.0090387,0.0056639,-1.6,0.112,-0.0201912,0.0021138,KSNP,Cont.,None,Short-Term,Log(Ha),1,1578,263,0.001
0.0859427,0.0622221,1.38,0.168,-0.0365764,0.2084618,KSNP,Cont.,None,Short-Term,Ha,3,1578,263,0.1743
0.1042072,0.0556506,1.87,0.062,-0.0053722,0.2137865,KSNP,Cont.,None,Short-Term,Ha,2,1578,263,0.0035
0.1130295,0.0551574,2.05,0.041,0.0044213,0.2216378,KSNP,Cont.,None,Short-Term,Ha,1,1578,263,0.0024
0.0392623,0.1924729,0.2,0.839,-0.3397285,0.418253,KSNP,Dich.,None,Short-Term,Log(Ha),3,1578,263,0.1901
-0.1526305,0.1561895,-0.98,0.329,-0.4601769,0.1549158,KSNP,Dich.,None,Short-Term,Log(Ha),2,1578,263,0.0005
-0.1370604,0.1485229,-0.92,0.357,-0.4295107,0.15539,KSNP,Dich.,None,Short-Term,Log(Ha),1,1578,263,0.0004
2.272731,1.718696,1.32,0.187,-1.111484,5.656946,KSNP,Dich.,None,Short-Term,Ha,3,1578,263,0.1744
2.250198,1.577562,1.43,0.155,-0.8561163,5.356513,KSNP,Dich.,None,Short-Term,Ha,2,1578,263,0.003
2.550127,1.545829,1.65,0.1,-0.4937032,5.593957,KSNP,Dich.,None,Short-Term,Ha,1,1578,263,0.0021
0.01472,0.0066041,2.23,0.028,0.0016335,0.0278066,Non-KSNP,Cont.,Genetic,Long-Term,Log(Ha),3,1680,112,0.4042
0.0138171,0.0052462,2.63,0.01,0.0034214,0.0242127,Non-KSNP,Cont.,Genetic,Long-Term,Log(Ha),2,1680,112,0.1097
0.0389457,0.0042717,9.12,0,0.030481,0.0474103,Non-KSNP,Cont.,Genetic,Long-Term,Log(Ha),1,1680,112,0.0268
3.839499,1.865201,2.06,0.042,0.1434798,7.535519,Non-KSNP,Cont.,Genetic,Long-Term,Ha,3,1680,112,0.2855
2.80475,1.736902,1.61,0.109,-0.637037,6.246537,Non-KSNP,Cont.,Genetic,Long-Term,Ha,2,1680,112,0.0157
