"","ID2003_d","Area2003","elev_MEAN.2003","ovslp_MEAN.2003","dstrds00_MEAN.2003","dstrds16_MEAN.2003","PAs_MEAN.2003","prmforlag_MEAN.2003","dstrds.2001","dstrds.2002","dstrds.2003","dstrds.2004","dstrds.2005","dstrds.2006","dstrds.2007","dstrds.2008","dstrds.2009","dstrds.2010","dstrds.2011","dstrds.2012","dstrds.2013","dstrds.2014","dstrds.2015","dstrds.2016","pop.2003","AreaNonFor_3km","AreaFor_3km","VCA","HKDII","AreaConc","Area2003_z","elev_MEAN.2003_z","ovslp_MEAN.2003_z","dstrds00_MEAN.2003_z","PAs_MEAN.2003_z","prmforlag_MEAN.2003_z","AreaNonFor_3km_z","AreaFor_3km_z","AreaConc_z","pop.2003_z","ps03.1","distance","weights"
"X51",1501030006,37272821,1047.606,0.8239826,6638.991,6760.5118631478,0.7241879,0.8085497,6646.58605394674,6654.18110789347,6661.77616184021,6669.37121578695,6676.96626973369,6684.56132368042,6692.15637762716,6699.7514315739,6707.34648552064,6714.94153946737,6722.53659341411,6730.13164736085,6737.72670130759,6745.32175525432,6752.91680920106,6760.5118631478,54.755166458502,274.5,314.37,1,1,0,-0.435999889779338,0.224228827424755,0.483424473645067,0.337009511071619,0.78457259601209,1.21636218152909,-0.610391909776022,-0.275067735451932,-0.212619414964987,-0.243543462019897,0.213342131962312,0.218409438073344,1
"X54",1501030010,41372893,1157.758,0.9265327,9704.777,9399.07250314142,0.8239786,0.8419919,9685.67046894634,9666.56393789268,9647.45740683902,9628.35087578536,9609.24434473169,9590.13781367803,9571.03128262437,9551.92475157071,9532.81822051705,9513.71168946339,9494.60515840973,9475.49862735607,9456.3920963024,9437.28556524875,9418.17903419508,9399.07250314142,54.8760504611703,454.14,113.49,0,0,0,-0.406322991092124,0.457207389703178,0.961655250806598,1.1855516293062,1.12537695423958,1.32392189631961,-0.4685762332132,-0.416420924861157,-0.212619414964987,-0.241263670252897,0.210774691572997,0.205908069947618,1
"X58",1501040002,51316582,1252.767,0.9322156,2727.76,9267.35927615506,0.8302496,0.8439643,3136.48495475969,3545.20990951938,3953.93486427907,4362.65981903876,4771.38477379846,5180.10972855815,5588.83468331784,5997.55963807753,6406.28459283722,6815.00954759691,7223.7345023566,7632.45945711629,8041.18441187599,8449.90936663568,8858.63432139537,9267.35927615506,54.9583712593454,736.29,131.04,1,1,0,-0.334349169405539,0.658157533354774,0.988156811346581,-0.745533183573327,1.14679362062677,1.33026570089744,-0.245834677088727,-0.404071519872448,-0.212619414964987,-0.239711154834892,0.362225072268342,0.343503854403732,1
"X59",1501040004,44799511,1311.5,0.8930121,4491.942,8505.06210192683,0.800872,0.7693683,4742.76200637043,4993.58201274085,5244.40201911128,5495.22202548171,5746.04203185213,5996.86203822256,6247.68204459299,6498.50205096341,6749.32205733384,7000.14206370427,7250.96207007469,7501.78207644512,7752.60208281555,8003.42208918597,8254.2420955564,8505.06210192683,54.5988981833825,716.85,115.65,0,0,0,-0.381520647322117,0.782381604622646,0.805335729041911,-0.257246417559223,1.04646348851763,1.09034355210001,-0.261181463730796,-0.414900998093316,-0.212619414964987,-0.246490577595138,0.29817520986814,0.280173357343878,1
"X63",1501050026,14071193,1163.643,0.9058402,6517.813,1843.34370478682,0.4808418,0.6287341,6225.65866904918,5933.50433809835,5641.35000714753,5349.1956761967,5057.04134524588,4764.88701429506,4472.73268334423,4180.57835239341,3888.42402144259,3596.26969049176,3304.11535954094,3011.96102859012,2719.80669763929,2427.65236668847,2135.49803573764,1843.34370478682,55.1713650004069,391.5,334.89,0,0,0,-0.603936541509946,0.469654543082222,0.865158120560845,0.3034701065589,-0.0465009553074408,0.638023595823447,-0.518026990170978,-0.260628431157442,-0.212619414964987,-0.235694234757986,0.178038959853913,0.205636889636227,1
"X64",1501060001,134047529,1147.449,0.9048818,9284.692,11782.3213602487,0.8400373,0.7926696,9440.79383501554,9596.89567003108,9752.99750504662,9909.09934006217,10065.2011750777,10221.3030100933,10377.4048451088,10533.5066801243,10689.6085151399,10845.7103501554,11001.812185171,11157.9140201865,11314.015855202,11470.1176902176,11626.2195252331,11782.3213602487,120.081517708071,1629.99,207.81,1,1,0,0.264469078765771,0.435403191880821,0.860688730703287,1.06928134307664,1.18022049123719,1.16528722154306,0.459691208817499,-0.350050789332095,-0.212619414964987,0.988468007319907,0.247539631119324,0.250493486176494,1
"X66",1501060028,38260615,1224.076,0.9409011,1946.646,8386.00398992582,0.8815669,0.8501118,2349.10587437036,2751.56574874073,3154.02562311109,3556.48549748145,3958.94537185182,4361.40524622218,4763.86512059255,5166.32499496291,5568.78486933327,5971.24474370364,6373.704618074,6776.16449244436,7178.62436681473,7581.08424118509,7983.54411555545,8386.00398992582,221.499833349748,418.77,4.41,1,1,0,-0.428850097663044,0.597474223652452,1.02866065693071,-0.961728354450448,1.32205203140521,1.3500378255386,-0.496498858909186,-0.493177226637134,-0.212619414964987,2.90114988349458,0.227499899707056,0.238407457214952,1
"X67",1501060029,45570610,1225.975,0.9506436,968.6358,5639.75707399172,0.8047461,0.7561992,1260.58087962448,1552.52595924897,1844.47103887345,2136.41611849793,2428.36119812241,2720.30627774689,3012.25135737138,3304.19643699586,3596.14151662034,3888.08659624483,4180.03167586931,4471.97675549379,4763.92183511827,5055.86691474276,5347.81199436724,5639.75707399172,272.998733322709,817.47,26.28,0,0,0,-0.375939324140277,0.601490730749615,1.07409370230556,-1.23242006181783,1.05969428221092,1.0479879463071,-0.181747632870457,-0.477787968112743,-0.212619414964987,3.87238483250744,0.215081156636904,0.240054378067809,1
"X72",1501070048,7051731,1128.371,0.6983012,2216.563,1541.1423087184,0.1652829,0.02580151,2174.3492067949,2132.1354135898,2089.9216203847,2047.7078271796,2005.4940339745,1963.2802407694,1921.0664475643,1878.8526543592,1836.6388611541,1794.425067949,1752.2112747439,1709.9974815388,1667.7836883337,1625.5698951286,1583.3561019235,1541.1423087184,55.172087020874,398.88,0,1,1,0,-0.654744396253167,0.395051995251184,-0.10267650135885,-0.887021266960479,-1.12419505302869,-1.3011806855428,-0.512200895242044,-0.49628041045481,-0.212619414964987,-0.235680617932929,0.13272537182359,0.137871741423769,1
"X75",1501071007,42157368,1266.319,0.8680643,7451.551,1759.75854900434,0.552358,0.4870306,7095.81397181277,6740.07694362554,6384.33991543831,6028.60288725109,5672.86585906386,5317.12883087663,4961.3918026894,4605.65477450217,4249.91774631494,3894.18071812771,3538.44368994048,3182.70666175325,2826.96963356603,2471.2326053788,2115.49557719157,1759.75854900434,56.4530415217082,1349.46,533.52,1,0,0,-0.400644850538092,0.686820884687453,0.688994489175052,0.561908242944193,0.197740568640869,0.182264463804091,0.238228551579865,-0.120858498798051,-0.212619414964987,-0.211522669317354,0.217004269175438,0.220137579763945,1
