"","ID2003_d","X","Area2003","elev_MEAN.2003","ovslp_MEAN.2003","dstrds00_MEAN.2003","dstrds16_MEAN.2003","mdvp.2003","PAs_MEAN.2003","prmforlag_MEAN.2003","dstrds.2003","pop.2003_pds","pop.2003","AreaNonFor_3km","AreaFor_3km","VCA","HKDII","AreaConc","year","dstrds","HKD","KSNP_AreaForLoss_Ha2","nonKSNP_AreaForLoss_Ha","All_AreaForLoss_Ha","KSNP_AreaForLoss_Ha2_trunc","All_AreaForLoss_Ha_trunc","nonKSNP_AreaForLoss_Ha_trunc","pop.2003_pds_imp","mdvp.2003_imp","Area2003_z","elev_MEAN.2003_z","ovslp_MEAN.2003_z","dstrds00_MEAN.2003_z","PAs_MEAN.2003_z","prmforlag_MEAN.2003_z","AreaNonFor_3km_z","AreaFor_3km_z","AreaConc_z","pop.2003_pds_z","All_AreaForLoss_Ha_trunc_z","ps03.1","distance","weights"
"X64",1501060001,64,134047529,1147.449,0.9048818,9284.692,11782.3213602487,0.2222222,0.8400373,0.7926696,9752.99750504662,826,120.081517708071,1629.99,207.81,1,1,0,2003,9752.99750504662,237946459,0.09,0.54,0.63,4.14,7.29,3.15,826,0.2222222,0.264469078765771,0.435403191880821,0.860688730703287,1.06928134307664,1.18022049123719,1.16528722154306,0.459691208817499,-0.350050789332095,-0.212619414964987,-0.421413730388662,-0.3060775736182,0.378438755102591,0.354629990605432,1
"X65",1501060010,65,71092003,1424.356,0.9253178,4743.406,7758.06746077319,0.1111111,0.7348205,0.4725655,5308.65502389497,845,245.41356150605,1669.59,168.75,0,0,0,2003,5308.65502389497,0,0.09,0.54,0.63,1.35,3.69,2.34,845,0.1111111,-0.191211886569043,1.02107930075611,0.955989702248639,-0.187646714507627,0.820884961986971,0.135740549994106,0.490953181606898,-0.377536131717222,-0.212619414964987,-0.417915478164255,-0.315763106617236,0.361980613035747,0.312351840620401,0.781818181818182
"X66",1501060028,66,38260615,1224.076,0.9409011,1946.646,8386.00398992582,0.1111111,0.8815669,0.8501118,3154.02562311109,918,221.499833349748,418.77,4.41,1,1,0,2003,3154.02562311109,249990500,0,0.09,0.09,0.27,0.63,0.36,918,0.1111111,-0.428850097663044,0.597474223652452,1.02866065693071,-0.961728354450448,1.32205203140521,1.3500378255386,-0.496498858909186,-0.493177226637134,-0.212619414964987,-0.404474824881005,-0.323995809666416,0.399108030239623,0.360261090930008,1
"X67",1501060029,67,45570610,1225.975,0.9506436,968.6358,5639.75707399172,0.1111111,0.8047461,0.7561992,1844.47103887345,772,272.998733322709,817.47,26.28,0,0,0,2003,1844.47103887345,0,0.09,0.18,0.27,2.16,4.05,1.89,772,0.1111111,-0.375939324140277,0.601490730749615,1.07409370230556,-1.23242006181783,1.05969428221092,1.0479879463071,-0.181747632870457,-0.477787968112743,-0.212619414964987,-0.431356131447505,-0.314794553317332,0.443872472096585,0.408930865017382,1.56363636363636
"X72",1501070048,72,7051731,1128.371,0.6983012,2216.563,1541.1423087184,0.05555556,0.1652829,0.02580151,2089.9216203847,1150,55.172087020874,398.88,0,1,1,0,2003,2089.9216203847,249998963,0.54,0,0.54,0.81,2.61,1.8,1150,0.05555556,-0.654744396253167,0.395051995251184,-0.10267650135885,-0.887021266960479,-1.12419505302869,-1.3011806855428,-0.512200895242044,-0.49628041045481,-0.212619414964987,-0.361759324035607,-0.318668766516947,0.103377447725762,0.114078777842339,1
"X75",1501071007,75,42157368,1266.319,0.8680643,7451.551,1759.75854900434,0.3888889,0.552358,0.4870306,6384.33991543831,800,56.4530415217082,1349.46,533.52,1,0,0,2003,6384.33991543831,124886863,0.63,1.08,1.71,1.08,4.59,3.51,800,0.3888889,-0.400644850538092,0.686820884687453,0.688994489175052,0.561908242944193,0.197740568640869,0.182264463804091,0.238228551579865,-0.120858498798051,-0.212619414964987,-0.426200812379957,-0.313341723367477,0.22861924287877,0.232536555173649,1
"X81",1501080001,81,25476671,1330.892,0.9167256,3121.166,6079.13350495543,0.1666667,0.6099491,0.5984313,3675.78490717914,704,117.598815260262,747.45,5.49,1,1,0,2003,3675.78490717914,249968640,0,0.72,0.72,0.09,2.52,2.43,704,0.1666667,-0.521382085128389,0.823396931441071,0.915920950647936,-0.636647057612092,0.394425208342916,0.54056109259836,-0.237024484757169,-0.492417263253214,-0.212619414964987,-0.443876192040121,-0.318910904841923,0.271922083393265,0.272812204275634,1
"X88",1501080018,88,15668779,1309.731,0.8548535,3144.264,3984.97519577175,0.5,0.1721999,0.2980471,3301.8973492072,588,55.1735674004806,780.21,200.43,1,1,0,2003,3301.8973492072,249999128,0,1.53,1.53,0,4.5,4.5,588,0.5,-0.59237298900011,0.778640055883898,0.627387419548347,-0.630254039362617,-1.10057217288195,-0.425560719949168,-0.211162307267756,-0.355243872455552,-0.212619414964987,-0.46523394246282,-0.313583861692453,0.140276740237807,0.184375208722172,1
"X94",1501080024,94,27550451,1358.199,0.9151285,4252.659,3514.44483038413,0.2222222,0.566071,0.5393486,4114.24384319702,528,55.1745227004542,723.96,27.09,0,0,0,2003,4114.24384319702,0,0,4.59,4.59,0.09,9.9,9.81,528,0.2222222,-0.506371773368115,0.881152992158415,0.908473055675579,-0.323474687789932,0.244573090753386,0.350534169696949,-0.255568518616335,-0.477217995574802,-0.212619414964987,-0.476281054750423,-0.299055562193899,0.214043258908537,0.218700116732253,1.56363636363636
"X97",1501080030,97,54469109,1178.629,0.9559744,7263.9,3577.4905410021,0.1666667,0.6780764,0.6454661,6572.69822643789,768,55.2337750562981,1204.92,123.39,1,1,0,2003,6572.69822643789,249999744,0,3.6,3.6,1.17,11.52,10.35,768,0.1666667,-0.311530734902997,0.501350896614654,1.09895328437221,0.50997057442172,0.627092989551701,0.691838510747552,0.124122350898556,-0.409454593841885,-0.212619414964987,-0.432092605600012,-0.294697072344333,0.281325844602261,0.27626899974666,1
"X99",1501080032,99,33060010,1256.015,0.8929903,5996.001,2894.76745252534,0.5,0.455669,0.5060841,5414.5197098485,946,55.1774700886494,746.37,229.77,1,1,0,2003,5414.5197098485,249998736,0,3.42,3.42,1.17,11.25,10.08,946,0.5,-0.466492809229382,0.665027262186573,0.805234067210844,0.159044024699233,-0.132470889868366,0.243545989115257,-0.237877084015062,-0.33459820052571,-0.212619414964987,-0.399319505813457,-0.295423487319261,0.16795678111666,0.18911202134228,1
"X103",1501090001,103,12124310,1311.716,0.8186609,2871.405,1350.88549966654,0.2777778,0.1791122,0.1700564,2586.30759368748,1613,55.1780232111613,809.19,15.39,0,0,0,2003,2586.30759368748,0,0,1.26,1.26,0,2.7,2.7,1613,0.2777778,-0.618028354909043,0.782838458510475,0.458607328397812,-0.705775407729284,-1.07696534413562,-0.837215550906413,-0.188284227180968,-0.485450932233942,-0.212619414964987,-0.276512440882939,-0.318426628191971,0.130540525624898,0.157429128408338,0.781818181818182
"X106",1501090008,106,24328861,1392.883,0.8863653,3451.514,3305.15646448349,0.2222222,0.6225494,0.4619738,3424.07196209065,1600,55.1785654703776,919.17,0,0,0,0,2003,3424.07196209065,0,1.08,0.0899999999999999,1.17,5.76,8.28,2.52,1600,0.2222222,-0.529690095593125,0.954511882183697,0.774339130017266,-0.5452139987898,0.437457646786316,0.101674602444403,-0.101461202752226,-0.49628041045481,-0.212619414964987,-0.278905981878586,-0.303414052043465,0.245659571658918,0.226954697853277,0.781818181818182
"X112",1501090021,112,8080173,1725.879,0.5789591,7335.75,2526.54751682568,0.2777778,0.2981166,0.3581857,6434.02453440482,746,55.1811308288574,510.75,55.8,1,1,0,2003,6434.02453440482,249999025,0,0.27,0.27,0,1.26,1.26,746,0.2777778,-0.647300388187046,1.65881983232955,-0.659214868762579,0.529857073738748,-0.670542519481149,-0.232137719551442,-0.42388582211199,-0.457015635618914,-0.212619414964987,-0.436143213438799,-0.322300841391585,0.067909001138829,0.0881990115512861,1
"X116",1501090025,116,14729238,1833.565,0.4375573,6753.048,2569.7953317079,0.2222222,0.4388397,0.3237863,5968.68812469523,2195,55.1804241404814,687.6,0,0,0,0,2003,5968.68812469523,0,1.62,1.17,2.79,2.7,21.6,18.9,2195,0.2222222,-0.599173519105309,1.88658264605525,-1.31862614877147,0.36857797944465,-0.189946173496177,-0.342776064306417,-0.284272693632057,-0.49628041045481,-0.212619414964987,-0.169355451693192,-0.267577579947033,0.0720456324047437,0.0789458569645782,0.781818181818182
"X118",1501090028,118,35143517,1798.222,0.6593249,8591.195,7040.34646451106,0.3333333,0.6459817,0.6555089,8300.41089959582,1340,55.1803391411191,1020.69,78.03,0,0,0,2003,8300.41089959582,0,0,1.35,1.35,1.17,14.31,13.14,1340,0.3333333,-0.451412092072927,1.81182992865924,-0.284438062194783,0.877336630246283,0.5174834404053,0.724139038335395,-0.0213168725103107,-0.441373055966549,-0.212619414964987,-0.326776801791532,-0.28719078427008,0.141480027996266,0.153037378640823,0.781818181818182
